    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    42     TN_HW                TT2_JBOG_INTERNAL_LAN_CHECK         2023-09-24 05:45:28            2023-09-24 05:47:05          00:01:37        pass   
    43     TN_HW                TT2_JBOG_SOL_TEST                   2023-09-24 05:47:05            2023-09-24 05:54:18          00:07:13        pass   
    44     TN_LOG               IDLE                                2023-09-24 05:54:18            2023-09-24 05:54:20          00:00:02        pass   
    45     TN_LOG               TT2_JBOG_SEL_CHECK                  2023-09-24 05:54:20            2023-09-24 05:54:26          00:00:06        pass   
    46     TN_LOG               TT2_SEL_CLEAR                       2023-09-24 05:54:26            2023-09-24 05:54:37          00:00:11        pass   
    47     TN_END               SFCS_UPLOAD_TIME                    2023-09-24 05:54:37            2023-09-24 05:54:57          00:00:20        pass   
    48     TN_END               SFCS_PASS                           2023-09-24 05:54:57            2023-09-24 05:55:08          00:00:11        pass   
    49     TO_START             SFCS_UPLOAD_TIME                    2023-09-24 05:55:08            2023-09-24 05:55:18          00:00:10        pass   
    50     TO_END               SFCS_UPLOAD_TIME                    2023-09-24 05:55:18            2023-09-24 05:55:38          00:00:20        pass   
    51     TO_END               SFCS_PASS                           2023-09-24 05:55:38            2023-09-24 05:55:49          00:00:11        pass   
    52     TP_START             SFCS_CHECK_ROUTE                    2023-09-24 05:55:49            2023-09-24 05:55:49          00:00:01        pass   
    53     TP_START             SFCS_UPLOAD_TIME                    2023-09-24 05:55:49            2023-09-24 05:55:59          00:00:10        pass   
    54     TP_MLA               TT2_JBOG_CABLE_DETECT               2023-09-24 05:55:59            2023-09-24 05:57:08          00:01:09        pass   
    55     TP_MLA               TT2_JBOG_K2V5_LIST_CHECK            2023-09-24 05:57:08            2023-09-24 05:57:10          00:00:02        pass   
    56     TP_MLA               TT2_JBOG_MX2_CHECK                  2023-09-24 05:57:10            2023-09-24 05:57:34          00:00:24        pass   
    57     TP_MLA               TT2_JBOG_CARD_LIST_CHECK            2023-09-24 05:57:34            2023-09-24 05:57:46          00:00:12        pass   
    58     TP_MLA               IDLE                                2023-09-24 05:57:46            2023-09-24 05:57:47          00:00:01        pass   
    59     TP_MLA               TT2_JBOG_DHCP_CLEAR                 2023-09-24 05:57:47            2023-09-24 05:57:50          00:00:03        pass   
    60     TP_MLA               TT2_SWITCH_BOOTMENU                 2023-09-24 05:57:50            2023-09-24 06:23:21          00:25:31        pass   
    61     TP_MLA               TT2_RAMDISK_LOG_CHECK               2023-09-24 06:23:21            2023-09-24 08:01:10          01:37:49        pass   
    62     TP_MLA               TT2_SWITCH_BOOTMENU                 2023-09-24 08:01:10            2023-09-24 08:27:20          00:26:10        pass   
    63     TP_MLA               IDLE                                2023-09-24 08:27:21            2023-09-24 08:27:22          00:00:01        pass   
    64     TP_FINAL             TT2_JBOG_SMC_HEALTH_CHECK           2023-09-24 08:27:22            2023-09-24 08:27:25          00:00:03        pass   
    65     TP_FINAL             TT2_JBOG_SMC_VER_CHECK              2023-09-24 08:27:25            2023-09-24 08:27:32          00:00:07        pass   
    66     TP_FINAL             TT2_JBOG_CPLD_VER_CHECK             2023-09-24 08:27:32            2023-09-24 08:28:25          00:00:53        pass   
    67     TP_FINAL             TT2_JBOG_PESW_VER_CHECK             2023-09-24 08:28:25            2023-09-24 08:28:44          00:00:19        pass   
    68     TP_FINAL             IDLE                                2023-09-24 08:28:44            2023-09-24 08:28:45          00:00:01        pass   
    69     TP_FINAL             IDLE                                2023-09-24 08:28:45            2023-09-24 08:28:46          00:00:01        pass   
    70     TP_FINAL             TT2_JBOG_K2V5_VER_CHECK             2023-09-24 08:28:46            2023-09-24 08:29:06          00:00:20        pass   
    71     TP_FINAL             TT2_JBOG_CABLE_DETECT               2023-09-24 08:29:06            2023-09-24 08:30:16          00:01:10        pass   
    72     TP_FINAL             TT2_JBOG_RPM_PRESENCE               2023-09-24 08:30:16            2023-09-24 08:30:36          00:00:20        pass   
    73     TP_FINAL             TT2_JBOG_FRU_CHECK                  2023-09-24 08:30:36            2023-09-24 08:30:58          00:00:22        pass   
    74     TP_FINAL             TT2_JBOG_SMC_FRU_CHECK              2023-09-24 08:30:58            2023-09-24 08:31:09          00:00:11        pass   
    75     TP_FINAL             TT2_JBOG_K2V5_FRU_CHECK             2023-09-24 08:31:09            2023-09-24 08:31:20          00:00:11        pass   
    76     TP_FINAL             TT2_JBOG_SMC_MAC_CHECK              2023-09-24 08:31:21            2023-09-24 08:31:24          00:00:03        pass   
    77     TP_FINAL             TT2_JBOG_SMC_POS_CHECK              2023-09-24 08:31:24            2023-09-24 08:31:30          00:00:06        pass   
    78     TP_FINAL             TT2_JBOG_SDR_CHECK                  2023-09-24 08:31:30            2023-09-24 08:31:33          00:00:03        pass   
    79     TP_FINAL             TT2_JBOG_PCIE_BUS_CHECK             2023-09-24 08:31:33            2023-09-24 08:31:37          00:00:04        pass   
    80     TP_FINAL             TT2_JBOG_FAN_CONFIG_CHECK           2023-09-24 08:31:37            2023-09-24 08:31:40          00:00:03        pass   
    81     TP_FINAL             TT2_JBOG_MX2_CHECK                  2023-09-24 08:31:40            2023-09-24 08:32:02          00:00:22        pass   
    82     TP_FINAL             IDLE                                2023-09-24 08:32:02            2023-09-24 08:32:03          00:00:01        pass   
    83     TP_FINAL             TT2_JBOG_K2V5_LIST_CHECK            2023-09-24 08:32:03            2023-09-24 08:32:05          00:00:02        pass   
    84     TP_FINAL             TT2_JBOG_CARD_LIST_CHECK            2023-09-24 08:32:05            2023-09-24 08:32:17          00:00:12        pass   
    85     TP_FINAL             TT2_JBOG_INTERNAL_LAN_CHECK         2023-09-24 08:32:17            2023-09-24 08:33:56          00:01:39        pass   
    86     TP_FINAL             TT2_JBOG_SOL_TEST                   2023-09-24 08:33:56            2023-09-24 08:41:08          00:07:12        pass   
    87     TP_END               SFCS_UPLOAD_TIME                    2023-09-24 08:41:09            2023-09-24 08:41:29          00:00:20        pass   
    88     TP_END               SFCS_PASS                           2023-09-24 08:41:29            2023-09-24 08:41:39          00:00:10        pass   
    89     TP_END               TT2_JBOG_DHCP_CLEAR                 2023-09-24 08:41:39            2023-09-24 08:41:41          00:00:02        pass   
    90     TP_END               TT2_WATS_SEND                       2023-09-24 08:41:42            2023-09-24 08:41:42          00:00:01        pass   
    1      PT_START             IDLE                                2023-11-06 10:21:50            2023-11-06 10:38:57          00:17:07        pass   
    2      PT_START             SFCS_CHECK_ROUTE                    2023-11-06 10:38:57            2023-11-06 10:38:57          00:00:01        pass   
    3      PT_FRU_REWORK        IDLE                                2023-11-06 10:38:57            2023-11-06 10:43:57          00:05:00        pass   
    4      PT_FRU_REWORK        TT2_JBOG_BB_FRU_REWORK              2023-11-06 10:43:57            2023-11-06 10:43:59          00:00:02        pass   
    5      PT_FRU_REWORK        TT2_JBOG_FRU_WRITE_PT               2023-11-06 10:43:59            2023-11-06 10:44:33          00:00:34        pass   
    6      PT_FRU_REWORK        TT2_JBOG_FRU_CHECK                  2023-11-06 10:44:33            2023-11-06 10:44:40          00:00:07        pass   
    7      PT_END               IDLE                                2023-11-06 10:44:40            2023-11-06 10:44:41          00:00:01        pass   
    8      PT_END               SFCS_PASS                           2023-11-06 10:44:41            2023-11-06 10:44:51          00:00:10        pass   
    1      TN_START             IDLE                                2023-11-06 10:50:22            2023-11-06 11:03:47          00:13:25        pass   
    2      TN_START             SFCS_CHECK_ROUTE                    2023-11-06 11:03:47            2023-11-06 11:03:47          00:00:01        pass   
    3      TN_START             SFCS_UPLOAD_TIME                    2023-11-06 11:03:47            2023-11-06 11:03:58          00:00:11        pass   
    4      TN_HN_FW             TT2_JBOG_HN_BIOS_CHECK              2023-11-06 11:03:58            2023-11-06 11:03:58          00:00:01        pass   
    5      TN_HN_FW             TT2_JBOG_HN_BMC_VER_CHECK           2023-11-06 11:03:58            2023-11-06 11:03:59          00:00:01        pass   
    6      TN_HN_FW             TT2_JBOG_HN_CPLD_VER_CHECK          2023-11-06 11:03:59            2023-11-06 11:04:34          00:00:35        pass   
    7      TN_HN_FW             IDLE                                2023-11-06 11:04:34            2023-11-06 11:04:35          00:00:01        pass   
    8      TN_HN_FW             IDLE                                2023-11-06 11:04:35            2023-11-06 11:04:36          00:00:01        pass   
    9      TN_HN_FW             IDLE                                2023-11-06 11:04:36            2023-11-06 11:04:37          00:00:01        pass   
    10     TN_HN_FW             IDLE                                2023-11-06 11:04:37            2023-11-06 11:04:38          00:00:01        pass   
    11     TN_HN_FW             IDLE                                2023-11-06 11:04:38            2023-11-06 11:04:39          00:00:01        pass   
    12     TN_DHCP              TT2_JBOG_DHCP_CLEAR                 2023-11-06 11:04:39            2023-11-06 11:04:40          00:00:01        pass   
    13     TN_DHCP              IDLE                                2023-11-06 11:04:40            2023-11-06 11:04:41          00:00:01        pass   
    14     TN_FW_1              TT2_JBOG_SMC_HEALTH_CHECK           2023-11-06 11:04:41            2023-11-06 11:04:44          00:00:03        pass   
    15     TN_FW_1              TT2_JBOG_SMC_VER_CHECK              2023-11-06 11:04:44            2023-11-06 11:32:09          00:27:25        pass   
    16     TN_FW_1              TT2_JBOG_CPLD_VER_UPDATE            2023-11-06 11:32:09            2023-11-06 11:32:53          00:00:44        pass   
    17     TN_FW_1              TT2_JBOG_PESW_VER_UPDATE            2023-11-06 11:32:53            2023-11-06 11:33:04          00:00:11        pass   
    18     TN_FW_1              TT2_JBOG_HN_POWER_AC                2023-11-06 11:33:04            2023-11-06 11:58:41          00:25:37        pass   
    19     TN_FW_1              TT2_JBOG_K2V5_VER_UPDATE            2023-11-06 11:58:41            2023-11-06 11:58:47          00:00:06        pass   
    20     TN_FW_1              IDLE                                2023-11-06 11:58:47            2023-11-06 11:58:48          00:00:01        pass   
    21     TN_FW_1              TT2_JBOG_HN_POWER_AC                2023-11-06 11:58:49            2023-11-06 12:24:25          00:25:36        pass   
    22     TN_FW_1              TT2_JBOG_CPLD_VER_CHECK             2023-11-06 12:24:25            2023-11-06 12:25:08          00:00:43        pass   
