    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    37     TN_HW                TT2_BFT_IOBD_I2C_CHECK              2023-08-12 17:31:23            2023-08-12 17:32:02          00:00:39        pass   
    38     TN_HW                TT2_BFT_IOBD_RETIMER_FW             2023-08-12 17:32:02            2023-08-12 17:32:10          00:00:08        pass   
    39     TN_HW                TT2_BFT_IOBD_SMI                    2023-08-12 17:32:10            2023-08-12 17:32:46          00:00:36        pass   
    40     TN_HW                TT2_BFT_RISER0_I2C_CHECK            2023-08-12 17:32:46            2023-08-12 17:33:27          00:00:41        pass   
    41     TN_HW                TT2_BFT_RISER0_POWER                2023-08-12 17:33:27            2023-08-12 17:33:37          00:00:10        pass   
    42     TN_HW                TT2_MCIO_CHECK                      2023-08-12 17:33:37            2023-08-12 17:34:19          00:00:42        pass   
    43     TN_HW                TT2_FAN_CONFIG_CHECK                2023-08-12 17:34:19            2023-08-12 17:34:23          00:00:04        pass   
    44     TN_HW                IDLE                                2023-08-12 17:34:23            2023-08-12 17:34:24          00:00:01        pass   
    45     TN_HW                TT2_POWER_DC_CYCLE                  2023-08-12 17:34:24            2023-08-12 17:57:10          00:22:46        pass   
    46     TN_HW                TT2_DMI_CHECK                       2023-08-12 17:57:10            2023-08-12 17:57:13          00:00:03        pass   
    47     TN_HW                TT2_INTER_LINK_CHECK                2023-08-12 17:57:13            2023-08-12 17:58:02          00:00:49        pass   
    48     TN_END               SFCS_UPLOAD_TIME                    2023-08-12 17:58:02            2023-08-12 17:58:23          00:00:21        pass   
    49     TN_END               SFCS_PASS                           2023-08-12 17:58:23            2023-08-12 17:58:33          00:00:10        pass   
    50     TO_START             SFCS_UPLOAD_TIME                    2023-08-12 17:58:33            2023-08-12 17:58:44          00:00:11        pass   
    51     TO_DC_1              TT2_SEL_CLEAR                       2023-08-12 17:58:44            2023-08-12 17:59:07          00:00:23        pass   
    52     TO_DC_1              TT2_POWER_DC_CYCLE                  2023-08-12 17:59:07            2023-08-12 18:20:54          00:21:47        pass   
    53     TO_DC_1              TT2_CPU_CONFIG_CHECK                2023-08-12 18:20:54            2023-08-12 18:20:54          00:00:01        pass   
    54     TO_DC_1              TT2_MEMORY_SLOT_CHECK               2023-08-12 18:20:54            2023-08-12 18:20:54          00:00:01        pass   
    55     TO_DC_1              TT2_BMC_MAC_CHECK                   2023-08-12 18:20:54            2023-08-12 18:20:57          00:00:03        pass   
    56     TO_DC_1              TT2_MCIO_CHECK                      2023-08-12 18:20:57            2023-08-12 18:21:39          00:00:42        pass   
    57     TO_DC_1              TT2_PCIE_CONFIG_CHECK               2023-08-12 18:21:39            2023-08-12 18:21:40          00:00:01        pass   
    58     TO_DC_1              TT2_PCIE_DEVICES_CHECK              2023-08-12 18:21:40            2023-08-12 18:21:40          00:00:01        pass   
    59     TO_DC_1              TT2_NVME_CHECK                      2023-08-12 18:21:40            2023-08-12 18:21:50          00:00:10        pass   
    60     TO_DC_1              TT2_FAN_CONFIG_CHECK                2023-08-12 18:21:50            2023-08-12 18:21:53          00:00:03        pass   
    61     TO_DC_1              TT2_DMI_CHECK                       2023-08-12 18:21:53            2023-08-12 18:21:55          00:00:02        pass   
    62     TO_DC_1              TT2_SDR_CHECK                       2023-08-12 18:21:55            2023-08-12 18:21:59          00:00:04        pass   
    63     TO_DC_1              TT2_SEL_CHECK                       2023-08-12 18:21:59            2023-08-12 18:22:03          00:00:04        pass   
    64     TO_DC_1              TT2_MSG_CHECK                       2023-08-12 18:22:03            2023-08-12 18:22:03          00:00:01        pass   
    65     TO_DC_1              TT2_MCE_CHECK                       2023-08-12 18:22:03            2023-08-12 18:22:03          00:00:01        pass   
    66     TO_DC_2              TT2_SEL_CLEAR                       2023-08-12 18:22:03            2023-08-12 18:22:10          00:00:07        pass   
    67     TO_DC_2              TT2_POWER_DC_CYCLE                  2023-08-12 18:22:10            2023-08-12 18:44:55          00:22:45        pass   
    68     TO_DC_2              TT2_CPU_CONFIG_CHECK                2023-08-12 18:44:55            2023-08-12 18:44:55          00:00:01        pass   
    69     TO_DC_2              TT2_MEMORY_SLOT_CHECK               2023-08-12 18:44:55            2023-08-12 18:44:55          00:00:01        pass   
    70     TO_DC_2              TT2_BMC_MAC_CHECK                   2023-08-12 18:44:55            2023-08-12 18:44:58          00:00:03        pass   
    71     TO_DC_2              TT2_MCIO_CHECK                      2023-08-12 18:44:58            2023-08-12 18:45:40          00:00:42        pass   
    72     TO_DC_2              TT2_PCIE_CONFIG_CHECK               2023-08-12 18:45:40            2023-08-12 18:45:40          00:00:01        pass   
    73     TO_DC_2              TT2_PCIE_DEVICES_CHECK              2023-08-12 18:45:41            2023-08-12 18:45:41          00:00:01        pass   
    74     TO_DC_2              TT2_NVME_CHECK                      2023-08-12 18:45:41            2023-08-12 18:45:51          00:00:10        pass   
    75     TO_DC_2              TT2_FAN_CONFIG_CHECK                2023-08-12 18:45:51            2023-08-12 18:45:54          00:00:03        pass   
    76     TO_DC_2              TT2_DMI_CHECK                       2023-08-12 18:45:54            2023-08-12 18:45:56          00:00:02        pass   
    77     TO_DC_2              TT2_SDR_CHECK                       2023-08-12 18:45:56            2023-08-12 18:45:59          00:00:03        pass   
    78     TO_DC_2              TT2_SEL_CHECK                       2023-08-12 18:46:00            2023-08-12 18:46:03          00:00:03        pass   
    79     TO_DC_2              TT2_MSG_CHECK                       2023-08-12 18:46:03            2023-08-12 18:46:04          00:00:01        pass   
    80     TO_DC_2              TT2_MCE_CHECK                       2023-08-12 18:46:04            2023-08-12 18:46:04          00:00:01        pass   
    81     TO_DC_3              TT2_SEL_CLEAR                       2023-08-12 18:46:04            2023-08-12 18:46:10          00:00:06        pass   
    82     TO_DC_3              TT2_POWER_DC_CYCLE                  2023-08-12 18:46:10            2023-08-12 19:08:55          00:22:45        pass   
    83     TO_DC_3              TT2_CPU_CONFIG_CHECK                2023-08-12 19:08:56            2023-08-12 19:08:56          00:00:01        pass   
    84     TO_DC_3              TT2_MEMORY_SLOT_CHECK               2023-08-12 19:08:56            2023-08-12 19:08:56          00:00:01        pass   
    85     TO_DC_3              TT2_BMC_MAC_CHECK                   2023-08-12 19:08:56            2023-08-12 19:08:59          00:00:03        pass   
    86     TO_DC_3              TT2_MCIO_CHECK                      2023-08-12 19:08:59            2023-08-12 19:09:41          00:00:42        pass   
    87     TO_DC_3              TT2_PCIE_CONFIG_CHECK               2023-08-12 19:09:41            2023-08-12 19:09:41          00:00:01        pass   
    88     TO_DC_3              TT2_PCIE_DEVICES_CHECK              2023-08-12 19:09:42            2023-08-12 19:09:42          00:00:01        pass   
    89     TO_DC_3              TT2_NVME_CHECK                      2023-08-12 19:09:42            2023-08-12 19:09:52          00:00:10        pass   
    90     TO_DC_3              TT2_FAN_CONFIG_CHECK                2023-08-12 19:09:52            2023-08-12 19:09:55          00:00:03        pass   
    91     TO_DC_3              TT2_DMI_CHECK                       2023-08-12 19:09:55            2023-08-12 19:09:58          00:00:03        pass   
    92     TO_DC_3              TT2_SDR_CHECK                       2023-08-12 19:09:58            2023-08-12 19:10:01          00:00:03        pass   
    93     TO_DC_3              TT2_SEL_CHECK                       2023-08-12 19:10:01            2023-08-12 19:10:05          00:00:04        pass   
    94     TO_DC_3              TT2_MSG_CHECK                       2023-08-12 19:10:05            2023-08-12 19:10:06          00:00:01        pass   
    95     TO_DC_3              TT2_MCE_CHECK                       2023-08-12 19:10:06            2023-08-12 19:10:06          00:00:01        pass   
    96     TO_AC_1              TT2_SEL_CLEAR                       2023-08-12 19:10:06            2023-08-12 19:10:14          00:00:08        pass   
