    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1      TN_PLD               SFCS_ROUTE_CHECK                    2023-08-31 15:41:57            2023-08-31 15:42:12          00:00:15        pass   
    2      TN_PLD               PRELOAD_OS                          2023-08-31 15:42:12            2023-08-31 16:02:34          00:20:22        pass   
    3      TN_PLD               MFG_BOM_CHECK                       2023-08-31 16:02:34            2023-08-31 16:02:51          00:00:17        pass   
    4      TN_PLD               CPU_CONFIG_CHECK                    2023-08-31 16:02:51            2023-08-31 16:02:56          00:00:05        pass   
    5      TN_INIT              SFCS_ROUTE_CHECK                    2023-08-31 16:02:56            2023-08-31 16:02:56          00:00:01        pass   
    6      TN_INIT              OS_BOOTUP_VER_CHECK                 2023-08-31 16:02:56            2023-08-31 16:06:02          00:03:06        pass   
    7      TN_INIT              OS_SYNC_TIME                        2023-08-31 16:06:03            2023-08-31 16:06:07          00:00:04        pass   
    8      TN_INIT              OS_SYNC_FILE                        2023-08-31 16:06:07            2023-08-31 16:06:24          00:00:17        pass   
    9      TN_INIT              MFG_BOM_CHECK                       2023-08-31 16:06:24            2023-08-31 16:06:41          00:00:17        pass   
    10     TN_INIT              DISK_FW_UPDATE_CHECK                2023-08-31 16:06:41            2023-08-31 16:13:01          00:06:20        pass   
    11     TN_INIT              DISK_FW_UPDATE_CHECK                2023-08-31 16:13:01            2023-08-31 16:13:13          00:00:12        pass   
    12     TN_INIT              L10_FRU_WRITE                       2023-08-31 16:13:13            2023-08-31 16:13:52          00:00:39        pass   
    13     TN_INIT              L10_FRU_CHECK                       2023-08-31 16:13:52            2023-08-31 16:13:59          00:00:07        pass   
    14     TN                   SFCS_ROUTE_CHECK                    2023-08-31 16:13:59            2023-08-31 16:14:00          00:00:01        pass   
    15     TN                   CFG_BIOS_SETTING                    2023-08-31 16:14:00            2023-08-31 16:22:15          00:08:15        pass   
    16     TN                   CFG_BIOS_SETTING                    2023-08-31 16:22:15            2023-08-31 16:22:40          00:00:25        pass   
    17     TN                   FAN_SPEED_SET                       2023-08-31 16:22:40            2023-08-31 16:22:58          00:00:18        pass   
    18     TN                   CLEAR_SEL                           2023-08-31 16:22:58            2023-08-31 16:23:04          00:00:06        pass   
    19     TN                   BIOS_FW_CHECK                       2023-08-31 16:23:04            2023-08-31 16:23:04          00:00:01        pass   
