    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    11     IDT_FRU_WRITE        YM35_FRU_CHECK_L10                  2023-09-15 15:20:09            2023-09-15 15:20:10          00:00:01        pass   
    12     IDT_PRE_LOG_CHECK    YM_SEL_CLEAR                        2023-09-15 15:20:10            2023-09-15 15:20:10          00:00:01        pass   
    13     IDT_PRE_LOG_CHECK    YM3_MCE_CHECK                       2023-09-15 15:20:11            2023-09-15 15:20:11          00:00:01        pass   
    14     IDT_PRE_LOG_CHECK    YM3_DMESG_CHECK                     2023-09-15 15:20:11            2023-09-15 15:20:11          00:00:01        pass   
    15     IDT_PRE_LOG_CHECK    YM3_MESSAGES_CHECK                  2023-09-15 15:20:11            2023-09-15 15:20:12          00:00:01        pass   
    16     IDT_PRE_LOG_CHECK    YM3_SEL_CHECK                       2023-09-15 15:20:12            2023-09-15 15:20:12          00:00:01        pass   
    17     IDT_PRE_LOG_CHECK    NETLAKE_SDR_CHECK                   2023-09-15 15:20:12            2023-09-15 15:20:14          00:00:02        pass   
    18     IDT_FW_CHECK         NETLAKE_ME_VER_CHECK                2023-09-15 15:20:14            2023-09-15 15:20:14          00:00:01        pass   
    19     IDT_FW_CHECK         NETLAKE_CPLD_CHECK                  2023-09-15 15:20:14            2023-09-15 15:20:15          00:00:01        pass   
    20     IDT_FW_CHECK         NETLAKE_VR_CHECK                    2023-09-15 15:20:15            2023-09-15 15:20:15          00:00:01        pass   
    21     IDT_FW_CHECK         BIOS_CHECK                          2023-09-15 15:20:15            2023-09-15 15:20:15          00:00:01        pass   
    22     IDT_FW_CHECK         YM3_BMC_VER_CHECK                   2023-09-15 15:20:15            2023-09-15 15:20:16          00:00:01        pass   
    23     IDT_FW_CHECK         YM3_TPM_PCR_CHECK                   2023-09-15 15:20:16            2023-09-15 15:20:17          00:00:01        pass   
    24     IDT_FW_CHECK         YM3_BMC_TPM_VER_CHECK               2023-09-15 15:20:17            2023-09-15 15:20:17          00:00:01        pass   
    25     IDT_FW_CHECK         NETLAKE_ETHTOOL_CHECK               2023-09-15 15:20:17            2023-09-15 15:20:18          00:00:01        pass   
    26     IDT_FW_CHECK         YM3_NVME_SSD_CONFIG_CHECK           2023-09-15 15:20:18            2023-09-15 15:20:19          00:00:01        pass   
    27     IDT_FW_CHECK         YM3_NIC_FW_CHECK                    2023-09-15 15:20:19            2023-09-15 15:20:20          00:00:01        pass   
    28     IDT_CONFIG_CHECK     CMOS_TEST                           2023-09-15 15:20:20            2023-09-15 15:20:20          00:00:01        pass   
    29     IDT_CONFIG_CHECK     YM3_CPU_AES_SMX_SSE4                2023-09-15 15:20:20            2023-09-15 15:20:21          00:00:01        pass   
    30     IDT_CONFIG_CHECK     NETLAKE_ETHTOOL_CHECK               2023-09-15 15:20:21            2023-09-15 15:20:22          00:00:01        pass   
    31     IDT_CONFIG_CHECK     CWC_PCIE_DEVICES_CHECK              2023-09-15 15:20:22            2023-09-15 15:20:22          00:00:01        pass   
    32     IDT_CONFIG_CHECK     YM3_MAC_ETH_CHECK                   2023-09-15 15:20:22            2023-09-15 15:20:24          00:00:02        pass   
    33     IDT_CONFIG_CHECK     MEMORY_CONFIG_CHECK                 2023-09-15 15:20:24            2023-09-15 15:20:25          00:00:01        pass   
    34     IDT_CONFIG_CHECK     YM3_TPM_PCR_CHECK                   2023-09-15 15:20:25            2023-09-15 15:20:26          00:00:01        pass   
