    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    45     IDT_SFCS_PASS        SFCS_PASS                           2023-10-03 17:06:46            2023-10-03 17:06:47          00:00:01        pass   
    46     RDT_START            SFCS_STAGE_START                    2023-10-03 17:06:48            2023-10-03 17:06:49          00:00:01        pass   
    47     RDT_DC_CYCLE         YM_SEL_CLEAR                        2023-10-03 17:06:49            2023-10-03 17:06:50          00:00:01        pass   
    48     RDT_DC_CYCLE         YM3_SLOT_DC                         2023-10-04 09:16:37            2023-10-04 09:23:30          00:06:54        pass   
    48     RDT_DC_CYCLE         YM3_SLOT_DC                         2023-10-04 09:16:37            2023-10-04 09:23:30          00:06:53        pass   
    49     RDT_DC_CYCLE         YM3_SEL_CHECK                       2023-10-04 09:23:47            2023-10-04 09:23:49          00:00:02        pass   
    50     RDT_DC_CYCLE         YM3_DMESG_CHECK                     2023-10-04 09:23:49            2023-10-04 09:23:49          00:00:01        pass   
    51     RDT_DC_CYCLE         YM3_MESSAGES_CHECK                  2023-10-04 09:23:49            2023-10-04 09:23:50          00:00:01        pass   
    52     RDT_DC_CYCLE         NETLAKE_SDR_CHECK                   2023-10-04 09:23:50            2023-10-04 09:23:51          00:00:01        pass   
    53     RDT_DC_CYCLE         YM3_MCE_CHECK                       2023-10-04 09:23:51            2023-10-04 09:23:52          00:00:01        pass   
    54     RDT_DC_CYCLE         YM3_SLOT_DC                         2023-10-04 09:23:52            2023-10-04 09:30:43          00:06:51        pass   
    55     RDT_DC_CYCLE         YM3_SEL_CHECK                       2023-10-04 09:30:43            2023-10-04 09:30:44          00:00:01        pass   
    56     RDT_DC_CYCLE         YM3_DMESG_CHECK                     2023-10-04 09:30:44            2023-10-04 09:30:44          00:00:01        pass   
    57     RDT_DC_CYCLE         YM3_MESSAGES_CHECK                  2023-10-04 09:30:44            2023-10-04 09:30:44          00:00:01        pass   
    58     RDT_DC_CYCLE         NETLAKE_SDR_CHECK                   2023-10-04 09:30:44            2023-10-04 09:30:46          00:00:02        pass   
    59     RDT_DC_CYCLE         YM3_MCE_CHECK                       2023-10-04 09:30:46            2023-10-04 09:30:47          00:00:01        pass   
    60     RDT_DC_CYCLE         YM3_SLOT_DC                         2023-10-04 09:30:47            2023-10-04 09:37:43          00:06:56        pass   
    61     RDT_DC_CYCLE         YM3_SEL_CHECK                       2023-10-04 09:37:43            2023-10-04 09:37:43          00:00:01        pass   
    62     RDT_DC_CYCLE         YM3_DMESG_CHECK                     2023-10-04 09:37:43            2023-10-04 09:37:44          00:00:01        pass   
    63     RDT_DC_CYCLE         YM3_MESSAGES_CHECK                  2023-10-04 09:37:44            2023-10-04 09:37:44          00:00:01        pass   
    64     RDT_DC_CYCLE         NETLAKE_SDR_CHECK                   2023-10-04 09:37:44            2023-10-04 09:37:46          00:00:02        pass   
    65     RDT_DC_CYCLE         YM3_MCE_CHECK                       2023-10-04 09:37:46            2023-10-04 09:37:46          00:00:01        pass   
    66     RDT_GRACEFUL_SHUTDOWN YM_SEL_CLEAR                        2023-10-04 09:37:46            2023-10-04 09:37:47          00:00:01        pass   
    67     RDT_GRACEFUL_SHUTDOWN NETLAKE_GRACEFUL_SHUTDOWN           2023-10-04 09:37:47            2023-10-04 09:44:52          00:07:05        pass   
    68     RDT_GRACEFUL_SHUTDOWN YM3_SEL_CHECK                       2023-10-04 09:44:52            2023-10-04 09:44:52          00:00:01        pass   
    69     RDT_GRACEFUL_SHUTDOWN YM3_DMESG_CHECK                     2023-10-04 09:44:52            2023-10-04 09:44:53          00:00:01        pass   
